,Top Level Class,Second Level Class
Proteoglycans in cancer,Human Diseases,Cancer: overview
Hepatocellular carcinoma,Human Diseases,Cancer: specific types
Hypertrophic cardiomyopathy (HCM),Human Diseases,Cardiovascular disease
Arrhythmogenic right ventricular cardiomyopathy (ARVC),Human Diseases,Cardiovascular disease
Dilated cardiomyopathy (DCM),Human Diseases,Cardiovascular disease
Fluid shear stress and atherosclerosis,Human Diseases,Cardiovascular disease
Amoebiasis,Human Diseases,Infectious disease: parasitic
Viral carcinogenesis,Human Diseases,Cancer: overview
Systemic lupus erythematosus,Human Diseases,Immune disease
Huntington disease,Human Diseases,Neurodegenerative disease
Purine metabolism,Metabolism,Nucleotide metabolism
Primary immunodeficiency,Human Diseases,Immune disease
Alzheimer disease,Human Diseases,Neurodegenerative disease
Epithelial cell signaling in Helicobacter pylori infection,Human Diseases,Infectious disease: bacterial
Notch signaling pathway,Environmental Information Processing,Signal transduction
Cytosolic DNA-sensing pathway,Organismal Systems,Immune system
Measles,Human Diseases,Infectious disease: viral
Endocrine resistance,Human Diseases,Drug resistance: antineoplastic
Calcium signaling pathway,Environmental Information Processing,Signal transduction
cGMP-PKG signaling pathway,Environmental Information Processing,Signal transduction
Chemokine signaling pathway,Organismal Systems,Immune system
Phospholipase D signaling pathway,Environmental Information Processing,Signal transduction
Oocyte meiosis,Cellular Processes,Cell growth and death
Longevity regulating pathway,Organismal Systems,Aging
Longevity regulating pathway - multiple species,Organismal Systems,Aging
Adrenergic signaling in cardiomyocytes,Organismal Systems,Circulatory system
Vascular smooth muscle contraction,Organismal Systems,Circulatory system
Apelin signaling pathway,Environmental Information Processing,Signal transduction
Gap junction,Cellular Processes,Cellular community - eukaryotes
Circadian entrainment,Organismal Systems,Environmental adaptation
Retrograde endocannabinoid signaling,Organismal Systems,Nervous system
Glutamatergic synapse,Organismal Systems,Nervous system
Cholinergic synapse,Organismal Systems,Nervous system
Inflammatory mediator regulation of TRP channels,Organismal Systems,Sensory system
Insulin secretion,Organismal Systems,Endocrine system
GnRH signaling pathway,Organismal Systems,Endocrine system
Ovarian steroidogenesis,Organismal Systems,Endocrine system
Progesterone-mediated oocyte maturation,Organismal Systems,Endocrine system
Estrogen signaling pathway,Organismal Systems,Endocrine system
Melanogenesis,Organismal Systems,Endocrine system
Thyroid hormone synthesis,Organismal Systems,Endocrine system
Regulation of lipolysis in adipocytes,Organismal Systems,Endocrine system
Aldosterone synthesis and secretion,Organismal Systems,Endocrine system
Relaxin signaling pathway,Organismal Systems,Endocrine system
Cortisol synthesis and secretion,Organismal Systems,Endocrine system
"Parathyroid hormone synthesis, secretion and action",Organismal Systems,Endocrine system
Cushing syndrome,Human Diseases,Endocrine and metabolic disease
"Growth hormone synthesis, secretion and action",Organismal Systems,Endocrine system
Salivary secretion,Organismal Systems,Digestive system
Pancreatic secretion,Organismal Systems,Digestive system
Morphine addiction,Human Diseases,Substance dependence
Human cytomegalovirus infection,Human Diseases,Infectious disease: viral
Human T-cell leukemia virus 1 infection,Human Diseases,Infectious disease: viral
Pathways in cancer,Human Diseases,Cancer: overview
Tyrosine metabolism,Metabolism,Amino acid metabolism
Retinol metabolism,Metabolism,Metabolism of cofactors and vitamins
Metabolism of xenobiotics by cytochrome P450,Metabolism,Xenobiotics biodegradation and metabolism
Drug metabolism - cytochrome P450,Metabolism,Xenobiotics biodegradation and metabolism
Chemical carcinogenesis,Human Diseases,Cancer: overview
Cysteine and methionine metabolism,Metabolism,Amino acid metabolism
AMPK signaling pathway,Environmental Information Processing,Signal transduction
Non-alcoholic fatty liver disease (NAFLD),Human Diseases,Endocrine and metabolic disease
Neuroactive ligand-receptor interaction,Environmental Information Processing,Signaling molecules and interaction
Renin secretion,Organismal Systems,Endocrine system
Proteasome,Genetic Information Processing,"Folding, sorting and degradation"
Epstein-Barr virus infection,Human Diseases,Infectious disease: viral
Transcriptional misregulation in cancer,Human Diseases,Cancer: overview
Spinocerebellar ataxia,Human Diseases,Neurodegenerative disease
Other glycan degradation,Metabolism,Glycan biosynthesis and metabolism
Glycerolipid metabolism,Metabolism,Lipid metabolism
Starch and sucrose metabolism,Metabolism,Carbohydrate metabolism
Glycerophospholipid metabolism,Metabolism,Lipid metabolism
Ether lipid metabolism,Metabolism,Lipid metabolism
Th17 cell differentiation,Organismal Systems,Immune system
Necroptosis,Cellular Processes,Cell growth and death
NOD-like receptor signaling pathway,Organismal Systems,Immune system
Ubiquitin mediated proteolysis,Genetic Information Processing,"Folding, sorting and degradation"
Pyrimidine metabolism,Metabolism,Nucleotide metabolism
Pentose and glucuronate interconversions,Metabolism,Carbohydrate metabolism
Fructose and mannose metabolism,Metabolism,Carbohydrate metabolism
Galactose metabolism,Metabolism,Carbohydrate metabolism
Folate biosynthesis,Metabolism,Metabolism of cofactors and vitamins
Steroid hormone biosynthesis,Metabolism,Lipid metabolism
Arachidonic acid metabolism,Metabolism,Lipid metabolism
EGFR tyrosine kinase inhibitor resistance,Human Diseases,Drug resistance: antineoplastic
Platinum drug resistance,Human Diseases,Drug resistance: antineoplastic
MAPK signaling pathway,Environmental Information Processing,Signal transduction
HIF-1 signaling pathway,Environmental Information Processing,Signal transduction
FoxO signaling pathway,Environmental Information Processing,Signal transduction
Sphingolipid signaling pathway,Environmental Information Processing,Signal transduction
Autophagy - animal,Cellular Processes,Transport and catabolism
mTOR signaling pathway,Environmental Information Processing,Signal transduction
PI3K-Akt signaling pathway,Environmental Information Processing,Signal transduction
Cellular senescence,Cellular Processes,Cell growth and death
VEGF signaling pathway,Environmental Information Processing,Signal transduction
Signaling pathways regulating pluripotency of stem cells,Cellular Processes,Cellular community - eukaryotes
Toll-like receptor signaling pathway,Organismal Systems,Immune system
C-type lectin receptor signaling pathway,Organismal Systems,Immune system
Jak-STAT signaling pathway,Environmental Information Processing,Signal transduction
T cell receptor signaling pathway,Organismal Systems,Immune system
B cell receptor signaling pathway,Organismal Systems,Immune system
Fc epsilon RI signaling pathway,Organismal Systems,Immune system
Fc gamma R-mediated phagocytosis,Organismal Systems,Immune system
TNF signaling pathway,Environmental Information Processing,Signal transduction
Neurotrophin signaling pathway,Organismal Systems,Nervous system
Dopaminergic synapse,Organismal Systems,Nervous system
Insulin signaling pathway,Organismal Systems,Endocrine system
Prolactin signaling pathway,Organismal Systems,Endocrine system
Glucagon signaling pathway,Organismal Systems,Endocrine system
GnRH secretion,Organismal Systems,Endocrine system
Insulin resistance,Human Diseases,Endocrine and metabolic disease
AGE-RAGE signaling pathway in diabetic complications,Human Diseases,Endocrine and metabolic disease
Carbohydrate digestion and absorption,Organismal Systems,Digestive system
Chagas disease (American trypanosomiasis),Human Diseases,Infectious disease: parasitic
Toxoplasmosis,Human Diseases,Infectious disease: parasitic
Tuberculosis,Human Diseases,Infectious disease: bacterial
Hepatitis C,Human Diseases,Infectious disease: viral
Hepatitis B,Human Diseases,Infectious disease: viral
Human papillomavirus infection,Human Diseases,Infectious disease: viral
Kaposi sarcoma-associated herpesvirus infection,Human Diseases,Infectious disease: viral
Herpes simplex virus 1 infection,Human Diseases,Infectious disease: viral
Human immunodeficiency virus 1 infection,Human Diseases,Infectious disease: viral
Colorectal cancer,Human Diseases,Cancer: specific types
Renal cell carcinoma,Human Diseases,Cancer: specific types
Pancreatic cancer,Human Diseases,Cancer: specific types
Endometrial cancer,Human Diseases,Cancer: specific types
Glioma,Human Diseases,Cancer: specific types
Prostate cancer,Human Diseases,Cancer: specific types
Melanoma,Human Diseases,Cancer: specific types
Chronic myeloid leukemia,Human Diseases,Cancer: specific types
Acute myeloid leukemia,Human Diseases,Cancer: specific types
Small cell lung cancer,Human Diseases,Cancer: specific types
Non-small cell lung cancer,Human Diseases,Cancer: specific types
Breast cancer,Human Diseases,Cancer: specific types
Central carbon metabolism in cancer,Human Diseases,Cancer: overview
Choline metabolism in cancer,Human Diseases,Cancer: overview
PD-L1 expression and PD-1 checkpoint pathway in cancer,Human Diseases,Cancer: overview
Porphyrin and chlorophyll metabolism,Metabolism,Metabolism of cofactors and vitamins
Cell adhesion molecules (CAMs),Environmental Information Processing,Signaling molecules and interaction
Ascorbate and aldarate metabolism,Metabolism,Carbohydrate metabolism
Arginine and proline metabolism,Metabolism,Amino acid metabolism
Histidine metabolism,Metabolism,Amino acid metabolism
Phenylalanine metabolism,Metabolism,Amino acid metabolism
Pentose phosphate pathway,Metabolism,Carbohydrate metabolism
N-Glycan biosynthesis,Metabolism,Glycan biosynthesis and metabolism
Various types of N-glycan biosynthesis,Metabolism,Glycan biosynthesis and metabolism
Serotonergic synapse,Organismal Systems,Nervous system
Glutathione metabolism,Metabolism,Metabolism of other amino acids
Metabolic pathways,Metabolism,Global and overview maps
Renin-angiotensin system,Organismal Systems,Endocrine system
Hematopoietic cell lineage,Organismal Systems,Immune system
Vasopressin-regulated water reabsorption,Organismal Systems,Excretory system
Wnt signaling pathway,Environmental Information Processing,Signal transduction
Basal cell carcinoma,Human Diseases,Cancer: specific types
RIG-I-like receptor signaling pathway,Organismal Systems,Immune system
Antigen processing and presentation,Organismal Systems,Immune system
Glycosphingolipid biosynthesis - ganglio series,Metabolism,Glycan biosynthesis and metabolism
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,Metabolism,Glycan biosynthesis and metabolism
Glycosaminoglycan biosynthesis - heparan sulfate / heparin,Metabolism,Glycan biosynthesis and metabolism
Glycosaminoglycan biosynthesis - keratan sulfate,Metabolism,Glycan biosynthesis and metabolism
Glycosphingolipid biosynthesis - lacto and neolacto series,Metabolism,Glycan biosynthesis and metabolism
Other types of O-glycan biosynthesis,Metabolism,Glycan biosynthesis and metabolism
Mannose type O-glycan biosynthesis,Metabolism,Glycan biosynthesis and metabolism
Mucin type O-glycan biosynthesis,Metabolism,Glycan biosynthesis and metabolism
Homologous recombination,Genetic Information Processing,Replication and repair
Protein processing in endoplasmic reticulum,Genetic Information Processing,"Folding, sorting and degradation"
Apoptosis - multiple species,Cellular Processes,Cell growth and death
Thyroid cancer,Human Diseases,Cancer: specific types
p53 signaling pathway,Cellular Processes,Cell growth and death
Amyotrophic lateral sclerosis (ALS),Human Diseases,Neurodegenerative disease
Prion diseases,Human Diseases,Neurodegenerative disease
"Valine, leucine and isoleucine biosynthesis",Metabolism,Amino acid metabolism
2-Oxocarboxylic acid metabolism,Metabolism,Global and overview maps
Biosynthesis of amino acids,Metabolism,Global and overview maps
NF-kappa B signaling pathway,Environmental Information Processing,Signal transduction
Hedgehog signaling pathway,Environmental Information Processing,Signal transduction
Mitophagy - animal,Cellular Processes,Transport and catabolism
Legionellosis,Human Diseases,Infectious disease: bacterial
Autophagy - other,Cellular Processes,Transport and catabolism
SNARE interactions in vesicular transport,Genetic Information Processing,"Folding, sorting and degradation"
Circadian rhythm,Organismal Systems,Environmental adaptation
Natural killer cell mediated cytotoxicity,Organismal Systems,Immune system
Cytokine-cytokine receptor interaction,Environmental Information Processing,Signaling molecules and interaction
TGF-beta signaling pathway,Environmental Information Processing,Signal transduction
Ribosome biogenesis in eukaryotes,Genetic Information Processing,Translation
"Glycine, serine and threonine metabolism",Metabolism,Amino acid metabolism
Long-term potentiation,Organismal Systems,Nervous system
Long-term depression,Organismal Systems,Nervous system
Alcoholism,Human Diseases,Substance dependence
Bladder cancer,Human Diseases,Cancer: specific types
Fanconi anemia pathway,Genetic Information Processing,Replication and repair
Nicotinate and nicotinamide metabolism,Metabolism,Metabolism of cofactors and vitamins
RNA degradation,Genetic Information Processing,"Folding, sorting and degradation"
Cell cycle,Cellular Processes,Cell growth and death
Complement and coagulation cascades,Organismal Systems,Immune system
Pertussis,Human Diseases,Infectious disease: bacterial
Staphylococcus aureus infection,Human Diseases,Infectious disease: bacterial
Inositol phosphate metabolism,Metabolism,Carbohydrate metabolism
Phosphatidylinositol signaling system,Environmental Information Processing,Signal transduction
IL-17 signaling pathway,Organismal Systems,Immune system
Phosphonate and phosphinate metabolism,Metabolism,Metabolism of other amino acids
Drug metabolism - other enzymes,Metabolism,Xenobiotics biodegradation and metabolism
Nucleotide excision repair,Genetic Information Processing,Replication and repair
Synaptic vesicle cycle,Organismal Systems,Nervous system
Endocrine and other factor-regulated calcium reabsorption,Organismal Systems,Excretory system
Amino sugar and nucleotide sugar metabolism,Metabolism,Carbohydrate metabolism
ECM-receptor interaction,Environmental Information Processing,Signaling molecules and interaction
Protein digestion and absorption,Organismal Systems,Digestive system
One carbon pool by folate,Metabolism,Metabolism of cofactors and vitamins
Carbon metabolism,Metabolism,Global and overview maps
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,Metabolism,Glycan biosynthesis and metabolism
Fatty acid metabolism,Metabolism,Global and overview maps
Aminoacyl-tRNA biosynthesis,Genetic Information Processing,Translation
Type I diabetes mellitus,Human Diseases,Endocrine and metabolic disease
African trypanosomiasis,Human Diseases,Infectious disease: parasitic
Autoimmune thyroid disease,Human Diseases,Immune disease
Allograft rejection,Human Diseases,Immune disease
Graft-versus-host disease,Human Diseases,Immune disease
Ribosome,Genetic Information Processing,Translation
Asthma,Human Diseases,Immune disease
Leishmaniasis,Human Diseases,Infectious disease: parasitic
Steroid biosynthesis,Metabolism,Lipid metabolism
DNA replication,Genetic Information Processing,Replication and repair
Base excision repair,Genetic Information Processing,Replication and repair
Non-homologous end-joining,Genetic Information Processing,Replication and repair
Th1 and Th2 cell differentiation,Organismal Systems,Immune system
Amphetamine addiction,Human Diseases,Substance dependence
Cocaine addiction,Human Diseases,Substance dependence
Inflammatory bowel disease (IBD),Human Diseases,Immune disease
Mineral absorption,Organismal Systems,Digestive system
Glycosphingolipid biosynthesis - globo and isoglobo series,Metabolism,Glycan biosynthesis and metabolism
Glycosaminoglycan degradation,Metabolism,Glycan biosynthesis and metabolism
Arginine biosynthesis,Metabolism,Amino acid metabolism
D-Glutamine and D-glutamate metabolism,Metabolism,Metabolism of other amino acids
Proximal tubule bicarbonate reclamation,Organismal Systems,Excretory system
Nitrogen metabolism,Metabolism,Energy metabolism
Intestinal immune network for IgA production,Organismal Systems,Immune system
Primary bile acid biosynthesis,Metabolism,Lipid metabolism
Protein export,Genetic Information Processing,"Folding, sorting and degradation"
Parkinson disease,Human Diseases,Neurodegenerative disease
Malaria,Human Diseases,Infectious disease: parasitic
Type II diabetes mellitus,Human Diseases,Endocrine and metabolic disease
Viral protein interaction with cytokine and cytokine receptor,Environmental Information Processing,Signaling molecules and interaction
Lipoic acid metabolism,Metabolism,Metabolism of cofactors and vitamins
Mismatch repair,Genetic Information Processing,Replication and repair
Hippo signaling pathway - multiple species,Environmental Information Processing,Signal transduction
Vitamin digestion and absorption,Organismal Systems,Digestive system
Aldosterone-regulated sodium reabsorption,Organismal Systems,Excretory system
Selenocompound metabolism,Metabolism,Metabolism of other amino acids
Olfactory transduction,Organismal Systems,Sensory system
Oxidative phosphorylation,Metabolism,Energy metabolism
Vitamin B6 metabolism,Metabolism,Metabolism of cofactors and vitamins
Taste transduction,Organismal Systems,Sensory system
RNA polymerase,Genetic Information Processing,Transcription
Phototransduction,Organismal Systems,Sensory system
Basal transcription factors,Genetic Information Processing,Transcription
Cardiac muscle contraction,Organismal Systems,Circulatory system
